茄颊八1	1	70	0	0	0	0	100	100	100	100	100	0	0	20032	0
茄颊八2	2	60	10	10	0	0	100	100	100	100	100	0	0	20092	0
剧颊八1	3	100	-10	-10	0	0	100	100	100	100	100	0	0	20081	1
剧颊八2	4	90	0	0	0	0	100	100	100	100	100	0	0	20026	1
捧备1	5	0	20	-20	0	0	100	100	100	100	100	0	8	21419	0
捧备2	6	0	10	-10	0	0	100	100	100	100	100	0	8	21496	0
癌渴1	7	0	45	-45	0	0	100	100	100	100	100	0	10	21634	0
癌渴2	8	0	30	-35	0	0	100	100	100	100	100	0	10	21608	0
厩扁1	9	0	0	-10	10	0	100	100	100	100	100	0	15	26068	0
厩扁2	10	0	0	10	-10	0	100	100	100	100	100	0	15	26079	0
